zip;date;minTemp;maxTemp;activeEnergy(kWh)
1000;202212;0;19;3688074,925
1000;202211;0;22,1;10654331,8
1000;202210;0;30,9;10818032,12
1000;202209;0;30,7;10792262,86
1000;202208;0;36,2;10897410,99
1000;202207;0;43,6;11682145,31
1000;202206;15,4;33,1;10380877,54
1000;202205;13,7;38,6;10870138,47
1000;202204;8,2;34,3;10619561,47
1000;202203;10,5;36,5;11758129,1
1000;202202;8,3;24,5;11030840,41
1000;202201;5;46,6;12578514,02
1000;202112;7,7;20;11996527,85
1000;202111;8,3;22,3;11122992,45
1000;202110;13,7;30,6;10690540,37
1000;202109;16,4;28,9;10296597,72
1000;202108;16,4;34,9;10197948,32
1000;202107;15,3;36,7;10181385,11
1050;202212;0;19;5781124,408
1050;202211;0;21;19601468,05
1050;202210;0;30;20660392,74
1050;202209;0;29,9;20886050,79
1050;202208;0;35,7;21888193,26
1050;202207;16,2;51,8;23109998,75
1050;202206;14,9;33,4;20016795,96
1050;202205;13,5;39,2;20655522,82
1050;202204;8,9;28;19372412
1050;202203;11,7;22,2;20541899,84
1050;202202;9,7;25,4;18769750,66
1050;202201;6,7;21,2;20675624,72
1050;202112;9;20,8;20433518,9
1050;202111;9;23,1;19630647,48
1050;202110;14,5;31,4;20067972,97
1050;202109;16,5;49,9;19536751,02
1050;202108;16,8;35,3;19720237,36
1050;202107;16;37,5;19298949,89
1070;202212;9,3;21,8;4733348,13
1070;202211;9,4;21,9;13709253,1
1070;202210;14;31,3;14460960,56
1070;202209;14,8;32,1;14432189,55
1070;202208;15,8;37,4;14834353,5
1070;202207;15,9;39,8;15650854,16
1070;202206;14;34;13907019,11
1070;202205;13;34,6;14251155,99
1070;202204;8,4;28,4;13640419,35
1070;202203;10,1;22,3;14531679,01
1070;202202;7,4;25,3;13264156,79
1070;202201;5,5;22,2;14824040,74
1070;202112;8,1;21,5;14672729,86
1070;202111;8,1;23,1;13980495,41
1070;202110;13,4;31,2;13859854,44
1070;202109;16,3;31,2;13499069,56
1070;202108;17;35,9;13374569,2
1070;202107;15,7;38,1;13156477,03
1100;202212;9;22,9;4196453,567
1100;202211;10,8;23,7;9338890,151
1100;202210;15,4;32,7;9840596,076
1100;202209;15,3;34,1;10134674,51
1100;202208;16,9;38,9;10716714,58
1100;202207;16,8;42,5;11160202,12
1100;202206;14,6;36,3;9656490,313
1100;202205;13;35,9;9749161,323
1100;202204;8,6;30,4;9259927,609
1100;202203;10,1;22,8;9767728,873
1100;202202;8,4;35,6;8914682,811
1100;202201;6;21,1;9731902,071
1100;202112;9;20,8;9600980,16
1100;202111;8,9;23,4;9172335,354
1100;202110;12,5;30,9;9045423,119
1100;202109;16;31,5;8807274,309
1100;202108;14,4;36,5;8849170,104
1100;202107;14,9;43,4;8286842,707
1170;202212;7,9;21;2624594,317
1170;202211;9,5;22,1;5398903,043
1170;202210;14,4;31,2;5168046,462
1170;202209;15;30,9;4978754,952
1170;202208;17,7;36,7;5016895,292
1170;202207;16;40,9;5223212,934
1170;202206;15,3;34,4;4786821,389
1170;202205;13,7;34,3;5099952,632
1170;202204;8;28,4;5338242,936
1170;202203;10,8;21,7;6071064,754
1170;202202;8,4;24,3;5926306,272
1170;202201;5,1;46,4;6980059,017
1170;202112;8,5;20,2;6476659,312
1170;202111;8,4;46,1;5678985,283
1170;202110;14,5;30,5;5152945,194
1170;202109;0;29,6;4729422,692
1170;202108;0;35,9;4691009,145
1170;202107;16,1;37,2;4715973,607
1200;202212;8,8;20,8;5821995,612
1200;202211;10,8;23;15746157,26
1200;202210;14,6;31,6;16186386,42
1200;202209;15,6;33;16120746,07
1200;202208;17,3;37,8;16649848,5
1200;202207;17;50,8;17522009,14
1200;202206;15,5;35,6;15350086,5
1200;202205;14,2;36,5;15659173,66
1200;202204;8,7;32,1;15249871,11
1200;202203;10,1;23,5;16363158,15
1200;202202;9,2;26,8;15175545,35
1200;202201;7;22,2;16843498,23
1200;202112;9,4;22;16330622,85
1200;202111;8,7;23,5;15315729,71
1200;202110;14,5;31,7;14606211,35
1200;202109;16,9;32,8;14072204,95
1200;202108;17;36;13913077,51
1200;202107;15,8;38;13405447,75
1250;202212;8,4;21;4705465,66
1250;202211;9;22;11849732,42
1250;202210;13,3;30,7;12565043,93
1250;202209;15;31,4;12905493,36
1250;202208;16,6;36,2;13482402,75
1250;202207;16,3;40,4;14304587,88
1250;202206;14,6;34,3;12167523,83
1250;202205;13,7;34,1;12528182,06
1250;202204;7,9;28,5;11808438,7
1250;202203;9,9;22;12719214,9
1250;202202;8,7;24,7;11710625,5
1250;202201;6,7;20,5;12962582
1250;202112;8,7;20,5;12607182,34
1250;202111;0;23;12058760,68
1250;202110;0;95,3;11894930,5
1250;202109;0;99,7;11453414
1250;202108;0;98,6;11470931,32
1250;202107;0;99,6;11137178,53
1300;202212;8,2;20,2;3540638,164
1300;202211;10,4;22,2;9717365,513
1300;202210;13,1;31,2;9931334,725
1300;202209;15;30,4;9726452,388
1300;202208;16,6;35,8;9934534,914
1300;202207;16,4;40,3;10489734,3
1300;202206;14,3;34,1;9520204,793
1300;202205;13,4;42,5;9777519,276
1300;202204;7,7;29,4;9564193,789
1300;202203;9,3;22,5;10329453,3
1300;202202;8,2;25,2;9691473,272
1300;202201;6,7;22,7;10972186,57
1300;202112;8,2;21,1;10554156,67
1300;202111;8,1;23,5;9850761,003
1300;202110;13,5;30;9547551,735
1300;202109;16,7;30,6;9288059,601
1300;202108;15,2;36,9;9259375,989
1300;202107;14,9;38,5;9152547,611
1350;202212;8,1;23,3;2669408,419
1350;202211;9,7;26,7;7061580,641
1350;202210;14,1;32,8;7062231,431
1350;202209;15;32,5;6859329,334
1350;202208;16,3;38,2;6931231,047
1350;202207;17,3;41,6;7465420,128
1350;202206;13,4;35,8;6733170,185
1350;202205;12,9;35,7;7087989,307
1350;202204;6,8;30,4;7112554,102
1350;202203;7,7;24,1;7828160,734
1350;202202;5,5;27,8;7346657,135
1350;202201;3,6;26,3;8393478,537
1350;202112;6,1;25,4;8134484,388
1350;202111;0;27;7398989,935
1350;202110;0;30,9;6930109,994
1350;202109;0;29,4;6657668,316
1350;202108;0;34,6;6595867,799
1350;202107;0;37;6632587,847
1400;202212;8,4;22,2;2440841,007
1400;202211;9;21,3;6305448,046
1400;202210;12,9;30;6160580,035
1400;202209;13,8;29,8;5929884,411
1400;202208;14,9;37,4;5860219,25
1400;202207;16,2;40,7;6332640,589
1400;202206;13,6;33,4;5800173,438
1400;202205;11,7;34,1;6109119,873
1400;202204;7,5;27,3;6182618,005
1400;202203;8,7;21,2;6888545,591
1400;202202;7,3;23,8;6512310,655
1400;202201;6;20,9;7537957,438
1400;202112;7,6;20,2;7268315,752
1400;202111;7,2;22,6;6589103,508
1400;202110;12,5;29,9;6110559,496
1400;202109;14,9;28,5;5872385,694
1400;202108;15,6;35,5;5748099,494
1400;202107;14,4;43,4;5779091,324
1500;202212;5,6;21,1;6441015,254
1500;202211;8;24,6;24500541
1500;202210;12,9;32,7;24532488,7
1500;202209;12,8;34,8;20804394,46
1500;202208;14,9;38,9;24658394,75
1500;202207;15,8;41,8;25917282,84
1500;202206;12,6;35,8;23565431,68
1500;202205;11,5;35,5;24580469,79
1500;202204;6,7;29,7;23713129,72
1500;202203;8,4;22,4;25715563,4
1500;202202;6,2;25,6;24275015,97
1500;202201;3,9;41,9;27693753,44
1500;202112;6,4;21,6;27101139,51
1500;202111;6,4;23,8;24729995,08
1500;202110;11,3;32,7;24128616,7
1500;202109;14,3;30,8;23616912,28
1500;202108;14,1;36,1;23569047,92
1500;202107;0;38,1;23321354,99
1600;202212;7,1;21,5;9171440,971
1600;202211;8,1;23,8;23646839,67
1600;202210;13,6;33,2;24109758,41
1600;202209;14,5;32,2;23945453,83
1600;202208;15,6;38,8;24569571,47
1600;202207;15,8;41,6;26418038,65
1600;202206;14,7;36;23064256,79
1600;202205;12,5;38,6;24132110,14
1600;202204;7,6;29,5;23760308,2
1600;202203;9,2;31,6;26082897,7
1600;202202;6;26,1;24691305,45
1600;202201;3,7;22,8;27826488,72
1600;202112;6,7;22;26899987,31
1600;202111;6,8;24,9;24841731,57
1600;202110;12,1;32,6;23878544,91
1600;202109;15,1;31,3;23024092,25
1600;202108;16,1;37,4;22759987,03
1600;202107;14,9;39,2;22635960,25
1649;202212;6,4;20,9;91,346
1649;202211;8;23,2;3,654
1649;202210;13,1;31,8;
1649;202209;14,3;33,2;
1649;202208;15,4;37,7;
1649;202207;15,7;40;
1649;202206;14,2;34,3;
1649;202205;12,3;33,3;
1649;202204;7,3;28,5;
1649;202203;8,9;21,8;
1649;202202;5,8;24,2;
1649;202201;3,5;20,3;
1649;202112;8,5;18;
1649;202111;6,7;23,4;
1649;202110;11,6;31,2;
1649;202109;15;30,1;
1649;202108;0;32,9;
1649;202107;0;0;
1675;202212;6;20,3;1337308,279
1675;202211;7,5;21,9;2772406,191
1675;202210;12,9;30,6;2646162,856
1675;202209;14,9;32,3;2527384,425
1675;202208;14,6;37,5;2562694,273
1675;202207;15,6;41,2;2700828,976
1675;202206;13,6;34,1;2516136,199
1675;202205;10,8;34,6;2637628,687
1675;202204;7;28,7;2665646,024
1675;202203;8;21,4;2964811,619
1675;202202;5,1;23,2;2841985,03
1675;202201;2,5;21,3;3310129,441
1675;202112;5,7;19,5;3165693,892
1675;202111;5,8;21,8;2819760,161
1675;202110;10,5;30,1;2633900,579
1675;202109;14,3;30,7;2472227,457
1675;202108;15,9;34,4;2461160,553
1675;202107;14,9;36;2534233,281
1700;202212;0;20,2;6934243,34
1700;202211;0;21,6;18948818,85
1700;202210;0;31,1;19447108,47
1700;202209;0;38,1;19461160,14
1700;202208;0;45,4;20193629,66
1700;202207;0;47,5;21439607,54
1700;202206;0;47,6;18799539,43
1700;202205;0;37,6;19314689,22
1700;202204;0;31,3;18629844,31
1700;202203;0;21,8;19839827,6
1700;202202;0;23,9;18505188,88
1700;202201;3,4;21,5;21067575,56
1700;202112;7;19,5;20435419,77
1700;202111;6,6;40,6;19011309,92
1700;202110;11,8;30,2;18502206,84
1700;202109;0;31,8;18140321,67
1700;202108;0;36,1;18223463,6
1700;202107;0;37,4;17770916,72
1749;202212;0;18,6;75,912
1749;202211;0;20,9;80,023
1749;202210;0;30,3;81,898
1749;202209;0;31,2;80,909
1749;202208;0;36,8;79,161
1749;202207;0;40,3;82,097
1749;202206;14,2;30,8;77,096
1749;202205;0;25,4;69,666
1749;202204;0;19,7;37,238
1749;202203;10,4;21,7;
1749;202202;7,3;23,5;
1749;202201;4,6;20,7;
1749;202112;7,2;19,5;
1749;202111;7,8;21,8;
1749;202110;12,7;29,8;
1749;202109;15,6;28,9;
1749;202108;16,3;34,5;
1749;202107;15,3;36,2;
1750;202212;0;23,8;3779889,198
1750;202211;0;21,6;7739470,817
1750;202210;0;33,9;7513553,223
1750;202209;0;34,4;7198286,025
1750;202208;0;39,1;7310969,165
1750;202207;15,6;42,6;7838503,572
1750;202206;14,3;51,4;7106366,358
1750;202205;13,1;37;7485081,587
1750;202204;7,6;30,4;7653470,757
1750;202203;9,4;23;8736260,989
1750;202202;7,4;26,4;8421267,07
1750;202201;4,9;22,4;9884479,239
1750;202112;7,6;21,9;9308266,849
1750;202111;8,2;25,8;8196284,991
1750;202110;13,3;48,3;7533784,714
1750;202109;15,7;31,7;7099803,589
1750;202108;14,2;37,2;7035701,114
1750;202107;0;39,4;7124584,685
1800;202212;7,6;20,2;4263566,801
1800;202211;9,2;22,5;12177160,41
1800;202210;12,9;31,9;12518026,63
1800;202209;14,6;32,8;12308348,98
1800;202208;16,5;37,9;12497253,32
1800;202207;15,9;41;13378612,86
1800;202206;14,6;35,3;12031192,9
1800;202205;13,4;35,1;12493504
1800;202204;8;29,4;11873183,19
1800;202203;9,4;22,5;13003184,93
1800;202202;7,2;25,1;12195897,81
1800;202201;3,8;21,2;13947100,17
1800;202112;6,7;46,2;13483697,86
1800;202111;7,3;23,9;12407393,24
1800;202110;12;32;12263321,83
1800;202109;0;31,9;12121814,3
1800;202108;0;36,4;12126355,99
1800;202107;0;38;12234119,36
1900;202212;8,4;21;2661359,47
1900;202211;10;22,4;6810898,491
1900;202210;14,7;31,4;6657981,757
1900;202209;15,2;31,7;6394207,978
1900;202208;17,9;37,1;6485560,17
1900;202207;16,2;40,7;6889794,134
1900;202206;15,5;34,2;6322809,89
1900;202205;13,9;34,8;6682798,562
1900;202204;8,2;28,9;6824845,064
1900;202203;10,1;22,2;7723149,027
1900;202202;8,5;23,9;7426428,791
1900;202201;5,2;21,2;8643809,666
1900;202112;8;20,2;8128895,722
1900;202111;8,5;22,6;7200772,57
1900;202110;14;29,9;6542521,528
1900;202109;16,4;30,1;6102600,736
1900;202108;16,2;35,4;5992348,969
1900;202107;15,5;37;6092281,507
1950;202212;0;21,1;3259309,88
1950;202211;0;23,6;8437803,437
1950;202210;0;32,5;8371307,299
1950;202209;0;32,1;8181496,509
1950;202208;6,8;38,1;8384100,496
1950;202207;14,6;99,7;8776464,379
1950;202206;13,8;99,9;8025979,171
1950;202205;12,2;99,7;8344354,801
1950;202204;0;99,4;8056046,14
1950;202203;0;99,4;8813959,77
1950;202202;0;82;8147199,34
1950;202201;0;21,5;9137428,778
1950;202112;5,3;22,4;9021189,993
1950;202111;6,2;24,5;8525301,509
1950;202110;11;39,9;8297211,423
1950;202109;14,2;30,8;8027134,585
1950;202108;14,9;41,6;8023465,274
1950;202107;14,8;40,8;7948036,555
1990;202212;6,8;21,5;4402120,32
1990;202211;7,9;24,4;16267531,95
1990;202210;12,4;33,5;17442340,74
1990;202209;14,6;33,4;17953723,37
1990;202208;15,9;39,2;18336322,29
1990;202207;15,8;40,9;19181845,33
1990;202206;14,4;35,9;14840672,18
1990;202205;12,7;36,6;15212254,6
1990;202204;8,5;30,6;14713858,94
1990;202203;9,3;22,9;15329174,95
1990;202202;6,1;24,9;13751650,15
1990;202201;3,5;19,8;14938699,18
1990;202112;5,9;21,2;14997573,56
1990;202111;6,2;24,8;14549084,12
1990;202110;11,5;32,2;14821251,52
1990;202109;15;32,7;13817937,35
1990;202108;15,6;35,7;13768380,94
1990;202107;15;37,2;13480367,15